source_node_id,target_node_id,relationship_type,impact_level
1,10,condition_affects_srotas,High
1,11,condition_affects_srotas,Low
1,5,condition_affects_srotas,High
1,1,condition_affects_srotas,Low
1,3,condition_affects_srotas,High
5,1,condition_affects_srotas,Medium
5,3,condition_affects_srotas,Medium
6,1,condition_affects_srotas,Low
6,3,condition_affects_srotas,Low
7,1,condition_affects_srotas,Medium
7,3,condition_affects_srotas,Low
8,1,condition_affects_srotas,Medium
8,3,condition_affects_srotas,Low
9,1,condition_affects_srotas,High
9,3,condition_affects_srotas,Low
10,1,condition_affects_srotas,High
10,3,condition_affects_srotas,High
11,1,condition_affects_srotas,High
11,3,condition_affects_srotas,High
12,1,condition_affects_srotas,Medium
12,3,condition_affects_srotas,Low
13,1,condition_affects_srotas,Low
13,3,condition_affects_srotas,Medium
14,1,condition_affects_srotas,High
14,3,condition_affects_srotas,High
15,1,condition_affects_srotas,Low
15,3,condition_affects_srotas,Medium
16,1,condition_affects_srotas,High
16,3,condition_affects_srotas,Medium
17,1,condition_affects_srotas,Medium
17,3,condition_affects_srotas,Medium
18,1,condition_affects_srotas,High
18,3,condition_affects_srotas,Medium
19,1,condition_affects_srotas,Medium
19,3,condition_affects_srotas,High
20,1,condition_affects_srotas,Medium
20,3,condition_affects_srotas,Medium
21,1,condition_affects_srotas,Medium
21,3,condition_affects_srotas,Medium
22,1,condition_affects_srotas,Low
22,3,condition_affects_srotas,Low
23,1,condition_affects_srotas,High
23,3,condition_affects_srotas,Low
24,1,condition_affects_srotas,Medium
24,3,condition_affects_srotas,Medium
25,2,condition_affects_srotas,Low
26,2,condition_affects_srotas,High
27,2,condition_affects_srotas,Medium
28,2,condition_affects_srotas,Medium
29,2,condition_affects_srotas,High
30,2,condition_affects_srotas,Low
31,2,condition_affects_srotas,Low
32,2,condition_affects_srotas,Low
33,2,condition_affects_srotas,High
34,2,condition_affects_srotas,Medium
35,2,condition_affects_srotas,Medium
36,2,condition_affects_srotas,Medium
37,2,condition_affects_srotas,Low
38,2,condition_affects_srotas,Low
39,2,condition_affects_srotas,High
40,4,condition_affects_srotas,Low
40,3,condition_affects_srotas,Low
41,4,condition_affects_srotas,Medium
41,3,condition_affects_srotas,High
42,4,condition_affects_srotas,Low
42,3,condition_affects_srotas,High
43,4,condition_affects_srotas,Medium
43,3,condition_affects_srotas,High
44,4,condition_affects_srotas,Medium
44,3,condition_affects_srotas,High
