source_node_id,target_node_id,relationship_type,frequency,severity_correlation,primary_symptom_flag
1,13,condition_manifests_as_symptom,High,Strong,TRUE
1,1,condition_manifests_as_symptom,High,Strong,FALSE
1,19,condition_manifests_as_symptom,Medium,Medium,FALSE
1,10,condition_manifests_as_symptom,Low,Low,FALSE
2,7,condition_manifests_as_symptom,High,Strong,TRUE
2,14,condition_manifests_as_symptom,High,Strong,FALSE
2,4,condition_manifests_as_symptom,High,Strong,FALSE
2,32,condition_manifests_as_symptom,Medium,Medium,FALSE
3,3,condition_manifests_as_symptom,High,Strong,TRUE
3,9,condition_manifests_as_symptom,Medium,Medium,FALSE
3,23,condition_manifests_as_symptom,High,Strong,FALSE
3,24,condition_manifests_as_symptom,High,Strong,FALSE
4,10,condition_manifests_as_symptom,High,Strong,TRUE
4,1,condition_manifests_as_symptom,High,Strong,FALSE
4,19,condition_manifests_as_symptom,Medium,Medium,FALSE
5,5,condition_manifests_as_symptom,High,Strong,TRUE
5,27,condition_manifests_as_symptom,High,Strong,FALSE
5,78,condition_manifests_as_symptom,Medium,Medium,FALSE
5,79,condition_manifests_as_symptom,Medium,Medium,FALSE
6,6,condition_manifests_as_symptom,High,Strong,TRUE
6,15,condition_manifests_as_symptom,High,Strong,FALSE
6,62,condition_manifests_as_symptom,High,Strong,FALSE
6,49,condition_manifests_as_symptom,High,Strong,FALSE
7,4,condition_manifests_as_symptom,High,Strong,TRUE
7,32,condition_manifests_as_symptom,Medium,Medium,FALSE
8,1,condition_manifests_as_symptom,High,Strong,TRUE
8,10,condition_manifests_as_symptom,High,Strong,FALSE
8,19,condition_manifests_as_symptom,Medium,Medium,FALSE
9,7,condition_manifests_as_symptom,High,Strong,TRUE
9,54,condition_manifests_as_symptom,Medium,Medium,FALSE
9,55,condition_manifests_as_symptom,Low,Low,FALSE
10,8,condition_manifests_as_symptom,High,Strong,TRUE
10,1,condition_manifests_as_symptom,High,Strong,FALSE
10,19,condition_manifests_as_symptom,Medium,Medium,FALSE
11,21,condition_manifests_as_symptom,High,Strong,TRUE
11,22,condition_manifests_as_symptom,High,Strong,FALSE
11,19,condition_manifests_as_symptom,Medium,Medium,FALSE
12,9,condition_manifests_as_symptom,High,Strong,TRUE
12,41,condition_manifests_as_symptom,High,Strong,FALSE
12,23,condition_manifests_as_symptom,High,Strong,FALSE
13,12,condition_manifests_as_symptom,High,Strong,TRUE
13,10,condition_manifests_as_symptom,High,Strong,FALSE
13,1,condition_manifests_as_symptom,High,Strong,FALSE
14,2,condition_manifests_as_symptom,High,Strong,TRUE
14,19,condition_manifests_as_symptom,High,Strong,FALSE
14,21,condition_manifests_as_symptom,Medium,Medium,FALSE
15,11,condition_manifests_as_symptom,High,Strong,TRUE
15,23,condition_manifests_as_symptom,High,Strong,FALSE
16,6,condition_manifests_as_symptom,High,Strong,TRUE
16,62,condition_manifests_as_symptom,High,Strong,FALSE
16,15,condition_manifests_as_symptom,High,Strong,FALSE
17,16,condition_manifests_as_symptom,High,Strong,TRUE
17,8,condition_manifests_as_symptom,Medium,Medium,FALSE
18,16,condition_manifests_as_symptom,High,Strong,TRUE
18,19,condition_manifests_as_symptom,High,Strong,FALSE
19,4,condition_manifests_as_symptom,High,Strong,TRUE
19,7,condition_manifests_as_symptom,High,Strong,FALSE
19,14,condition_manifests_as_symptom,High,Strong,FALSE
20,4,condition_manifests_as_symptom,High,Strong,TRUE
20,7,condition_manifests_as_symptom,High,Strong,FALSE
20,14,condition_manifests_as_symptom,High,Strong,FALSE
21,3,condition_manifests_as_symptom,High,Strong,TRUE
21,23,condition_manifests_as_symptom,High,Strong,FALSE
21,25,condition_manifests_as_symptom,High,Strong,FALSE
22,3,condition_manifests_as_symptom,High,Strong,TRUE
22,25,condition_manifests_as_symptom,High,Strong,FALSE
22,23,condition_manifests_as_symptom,High,Strong,FALSE
23,3,condition_manifests_as_symptom,High,Strong,TRUE
23,25,condition_manifests_as_symptom,High,Strong,FALSE
23,23,condition_manifests_as_symptom,High,Strong,FALSE
24,9,condition_manifests_as_symptom,High,Strong,TRUE
24,23,condition_manifests_as_symptom,High,Strong,FALSE
25,3,condition_manifests_as_symptom,High,Strong,TRUE
25,25,condition_manifests_as_symptom,High,Strong,FALSE
25,26,condition_manifests_as_symptom,High,Strong,FALSE
26,9,condition_manifests_as_symptom,High,Strong,TRUE
26,23,condition_manifests_as_symptom,High,Strong,FALSE
26,26,condition_manifests_as_symptom,High,Strong,FALSE
27,5,condition_manifests_as_symptom,High,Strong,TRUE
27,27,condition_manifests_as_symptom,High,Strong,FALSE
27,78,condition_manifests_as_symptom,Medium,Medium,FALSE
28,5,condition_manifests_as_symptom,High,Strong,TRUE
28,80,condition_manifests_as_symptom,High,Strong,FALSE
28,78,condition_manifests_as_symptom,Medium,Medium,FALSE
29,5,condition_manifests_as_symptom,High,Strong,TRUE
29,81,condition_manifests_as_symptom,High,Strong,FALSE
29,78,condition_manifests_as_symptom,Medium,Medium,FALSE
30,5,condition_manifests_as_symptom,High,Strong,TRUE
30,82,condition_manifests_as_symptom,High,Strong,FALSE
30,19,condition_manifests_as_symptom,Medium,Medium,FALSE
31,6,condition_manifests_as_symptom,High,Strong,TRUE
31,49,condition_manifests_as_symptom,High,Strong,FALSE
31,62,condition_manifests_as_symptom,High,Strong,FALSE
32,6,condition_manifests_as_symptom,High,Strong,TRUE
32,49,condition_manifests_as_symptom,High,Strong,FALSE
32,15,condition_manifests_as_symptom,High,Strong,FALSE
33,6,condition_manifests_as_symptom,High,Strong,TRUE
33,16,condition_manifests_as_symptom,High,Strong,FALSE
33,21,condition_manifests_as_symptom,High,Strong,FALSE
34,6,condition_manifests_as_symptom,High,Strong,TRUE
34,63,condition_manifests_as_symptom,High,Strong,FALSE
34,15,condition_manifests_as_symptom,High,Strong,FALSE
35,6,condition_manifests_as_symptom,High,Strong,TRUE
35,63,condition_manifests_as_symptom,High,Strong,FALSE
35,21,condition_manifests_as_symptom,High,Strong,FALSE
36,21,condition_manifests_as_symptom,High,Strong,TRUE
36,22,condition_manifests_as_symptom,High,Strong,FALSE
36,19,condition_manifests_as_symptom,Medium,Medium,FALSE
37,21,condition_manifests_as_symptom,High,Strong,TRUE
37,22,condition_manifests_as_symptom,High,Strong,FALSE
37,38,condition_manifests_as_symptom,Medium,Medium,FALSE
38,21,condition_manifests_as_symptom,High,Strong,TRUE
38,19,condition_manifests_as_symptom,High,Strong,FALSE
38,38,condition_manifests_as_symptom,Medium,Medium,FALSE
39,21,condition_manifests_as_symptom,High,Strong,TRUE
39,22,condition_manifests_as_symptom,High,Strong,FALSE
39,38,condition_manifests_as_symptom,Medium,Medium,FALSE
40,19,condition_manifests_as_symptom,High,Strong,TRUE
40,21,condition_manifests_as_symptom,High,Strong,FALSE
40,38,condition_manifests_as_symptom,Medium,Medium,FALSE
41,19,condition_manifests_as_symptom,High,Strong,TRUE
41,54,condition_manifests_as_symptom,High,Strong,FALSE
41,55,condition_manifests_as_symptom,Medium,Medium,FALSE
42,19,condition_manifests_as_symptom,High,Strong,TRUE
42,54,condition_manifests_as_symptom,High,Strong,FALSE
42,56,condition_manifests_as_symptom,Medium,Medium,FALSE
43,7,condition_manifests_as_symptom,High,Strong,TRUE
43,54,condition_manifests_as_symptom,High,Strong,FALSE
43,55,condition_manifests_as_symptom,Medium,Medium,FALSE
44,19,condition_manifests_as_symptom,High,Strong,TRUE
44,54,condition_manifests_as_symptom,High,Strong,FALSE
44,40,condition_manifests_as_symptom,Medium,Medium,FALSE
45,19,condition_manifests_as_symptom,High,Strong,TRUE
45,54,condition_manifests_as_symptom,High,Strong,FALSE
45,40,condition_manifests_as_symptom,Medium,Medium,FALSE
46,19,condition_manifests_as_symptom,High,Strong,TRUE
46,54,condition_manifests_as_symptom,High,Strong,FALSE
46,55,condition_manifests_as_symptom,Medium,Medium,FALSE
47,19,condition_manifests_as_symptom,High,Strong,TRUE
47,54,condition_manifests_as_symptom,High,Strong,FALSE
47,55,condition_manifests_as_symptom,Medium,Medium,FALSE
48,19,condition_manifests_as_symptom,High,Strong,TRUE
48,54,condition_manifests_as_symptom,High,Strong,FALSE
48,55,condition_manifests_as_symptom,Medium,Medium,FALSE
49,1,condition_manifests_as_symptom,High,Strong,TRUE
49,10,condition_manifests_as_symptom,High,Strong,FALSE
49,19,condition_manifests_as_symptom,Medium,Medium,FALSE
50,1,condition_manifests_as_symptom,High,Strong,TRUE
50,10,condition_manifests_as_symptom,High,Strong,FALSE
50,19,condition_manifests_as_symptom,Medium,Medium,FALSE
51,1,condition_manifests_as_symptom,High,Strong,TRUE
51,10,condition_manifests_as_symptom,High,Strong,FALSE
51,19,condition_manifests_as_symptom,Medium,Medium,FALSE
52,1,condition_manifests_as_symptom,High,Strong,TRUE
52,19,condition_manifests_as_symptom,High,Strong,FALSE
52,40,condition_manifests_as_symptom,Medium,Medium,FALSE
53,4,condition_manifests_as_symptom,High,Strong,TRUE
53,32,condition_manifests_as_symptom,High,Strong,FALSE
53,19,condition_manifests_as_symptom,Medium,Medium,FALSE
54,4,condition_manifests_as_symptom,High,Strong,TRUE
54,32,condition_manifests_as_symptom,High,Strong,FALSE
54,19,condition_manifests_as_symptom,Medium,Medium,FALSE
55,2,condition_manifests_as_symptom,High,Strong,TRUE
55,19,condition_manifests_as_symptom,High,Strong,FALSE
55,21,condition_manifests_as_symptom,Medium,Medium,FALSE
56,13,condition_manifests_as_symptom,High,Strong,TRUE
56,1,condition_manifests_as_symptom,High,Strong,FALSE
56,19,condition_manifests_as_symptom,Medium,Medium,FALSE
