source_node_id,target_node_id,relationship_type,effect_type,intensity,primary_action,secondary_action
1,1,herb_balances_dosha,Balancing,High,Grounding,Calming
1,2,herb_balances_dosha,Balancing,Medium,Cooling,Nourishing
2,2,herb_balances_dosha,Balancing,High,Cooling,Anti-inflammatory
2,3,herb_balances_dosha,Balancing,Medium,Drying,Lightening
3,1,herb_balances_dosha,Balancing,Medium,Drying,Lightening
3,2,herb_balances_dosha,Balancing,High,Cooling,Digestive stimulant
3,3,herb_balances_dosha,Balancing,High,Drying,Lightening
4,1,herb_balances_dosha,Balancing,High,Grounding,Nourishing
4,3,herb_balances_dosha,Balancing,Medium,Grounding,Calming
5,2,herb_balances_dosha,Balancing,High,Cooling,Anti-inflammatory
5,3,herb_balances_dosha,Balancing,Medium,Drying,Anti-bacterial
6,1,herb_balances_dosha,Balancing,Medium,Warming,Stimulating
6,3,herb_balances_dosha,Balancing,High,Warming,Drying
7,2,herb_balances_dosha,Balancing,High,Cooling,Rejuvenating
8,2,herb_balances_dosha,Balancing,Medium,Cooling,Nourishing
8,1,herb_balances_dosha,Balancing,High,Grounding,Nourishing
9,1,herb_balances_dosha,Balancing,High,Grounding,Drying
9,3,herb_balances_dosha,Balancing,High,Drying,Lightening
10,1,herb_balances_dosha,Balancing,Medium,Grounding,Warming
10,3,herb_balances_dosha,Balancing,High,Warming,Drying
11,2,herb_balances_dosha,Balancing,High,Cooling,Astringent
11,3,herb_balances_dosha,Balancing,Medium,Drying,Astringent
12,1,herb_balances_dosha,Balancing,High,Drying,Astringent
12,3,herb_balances_dosha,Balancing,Medium,Drying,Astringent
13,2,herb_balances_dosha,Balancing,Medium,Cooling,Astringent
13,3,herb_balances_dosha,Balancing,High,Drying,Astringent
14,2,herb_balances_dosha,Balancing,High,Cooling,Moistening
14,1,herb_balances_dosha,Balancing,Medium,Grounding,Moistening
15,1,herb_balances_dosha,Balancing,Medium,Warming,Stimulating
15,2,herb_balances_dosha,Balancing,High,Warming,Stimulating
16,1,herb_balances_dosha,Balancing,Medium,Drying,Diuretic
16,3,herb_balances_dosha,Balancing,High,Drying,Diuretic
17,1,herb_balances_dosha,Balancing,High,Grounding,Calming
17,2,herb_balances_dosha,Balancing,Medium,Cooling,Nourishing
18,1,herb_balances_dosha,Balancing,High,Grounding,Calming
18,3,herb_balances_dosha,Balancing,Medium,Grounding,Calming
19,2,herb_balances_dosha,Balancing,High,Cooling,Hair nourishing
19,3,herb_balances_dosha,Balancing,Medium,Drying,Hair nourishing
20,2,herb_balances_dosha,Balancing,High,Cooling,Blood purifying
20,3,herb_balances_dosha,Balancing,Medium,Drying,Blood purifying
21,2,herb_balances_dosha,Balancing,High,Cooling,Liver protective
21,3,herb_balances_dosha,Balancing,Medium,Drying,Liver protective
22,1,herb_balances_dosha,Balancing,Medium,Grounding,Immune boosting
22,2,herb_balances_dosha,Balancing,High,Cooling,Immune boosting
22,3,herb_balances_dosha,Balancing,Medium,Drying,Immune boosting
23,2,herb_balances_dosha,Balancing,High,Cooling,Rejuvenating
23,1,herb_balances_dosha,Balancing,Medium,Grounding,Rejuvenating
24,1,herb_balances_dosha,Balancing,Medium,Warming,Digestive stimulant
24,3,herb_balances_dosha,Balancing,High,Warming,Digestive stimulant
25,1,herb_balances_dosha,Balancing,High,Drying,Diuretic
25,3,herb_balances_dosha,Balancing,Medium,Drying,Diuretic
26,1,herb_balances_dosha,Balancing,Medium,Warming,Digestive stimulant
26,3,herb_balances_dosha,Balancing,High,Warming,Digestive stimulant
27,2,herb_balances_dosha,Balancing,High,Cooling,Anti-inflammatory
27,3,herb_balances_dosha,Balancing,Medium,Drying,Lightening
28,2,herb_balances_dosha,Balancing,High,Cooling,Liver protective
28,3,herb_balances_dosha,Balancing,Medium,Drying,Liver protective
29,1,herb_balances_dosha,Balancing,Medium,Warming,Stimulating
29,3,herb_balances_dosha,Balancing,High,Warming,Drying
30,2,herb_balances_dosha,Balancing,High,Cooling,Moistening
30,1,herb_balances_dosha,Balancing,Medium,Grounding,Moistening
31,1,herb_balances_dosha,Balancing,Medium,Warming,Stimulating
31,3,herb_balances_dosha,Balancing,High,Warming,Drying
32,1,herb_balances_dosha,Balancing,High,Grounding,Nourishing
32,3,herb_balances_dosha,Balancing,Medium,Drying,Nourishing
33,1,herb_balances_dosha,Balancing,High,Grounding,Nourishing
33,2,herb_balances_dosha,Balancing,Medium,Cooling,Nourishing
34,1,herb_balances_dosha,Balancing,High,Grounding,Nourishing
34,3,herb_balances_dosha,Balancing,Medium,Drying,Nourishing
35,1,herb_balances_dosha,Balancing,High,Grounding,Nourishing
35,2,herb_balances_dosha,Balancing,Medium,Cooling,Nourishing
36,1,herb_balances_dosha,Balancing,Medium,Warming,Anti-inflammatory
36,3,herb_balances_dosha,Balancing,High,Warming,Drying
37,1,herb_balances_dosha,Balancing,Medium,Warming,Laxative
37,2,herb_balances_dosha,Balancing,High,Warming,Laxative
38,1,herb_balances_dosha,Balancing,Medium,Warming,Analgesic
38,3,herb_balances_dosha,Balancing,High,Warming,Drying
39,1,herb_balances_dosha,Balancing,Medium,Warming,Stimulating
39,2,herb_balances_dosha,Balancing,High,Warming,Stimulating
40,1,herb_balances_dosha,Balancing,High,Grounding,Bone healing
40,3,herb_balances_dosha,Balancing,Medium,Drying,Bone healing
41,2,herb_balances_dosha,Balancing,High,Cooling,Anti-diabetic
41,3,herb_balances_dosha,Balancing,Medium,Drying,Anti-diabetic
42,2,herb_balances_dosha,Balancing,High,Cooling,Moistening
42,1,herb_balances_dosha,Balancing,Medium,Grounding,Moistening
43,1,herb_balances_dosha,Balancing,Medium,Warming,Analgesic
43,3,herb_balances_dosha,Balancing,High,Warming,Drying
44,1,herb_balances_dosha,Balancing,High,Grounding,Strengthening
44,3,herb_balances_dosha,Balancing,Medium,Drying,Strengthening
45,1,herb_balances_dosha,Balancing,High,Grounding,Strengthening
45,3,herb_balances_dosha,Balancing,Medium,Drying,Strengthening
46,1,herb_balances_dosha,Balancing,Medium,Warming,Expectorant
46,3,herb_balances_dosha,Balancing,High,Warming,Drying
47,2,herb_balances_dosha,Balancing,High,Cooling,Rejuvenating
47,1,herb_balances_dosha,Balancing,Medium,Grounding,Rejuvenating
48,2,herb_balances_dosha,Balancing,High,Cooling,Astringent
48,3,herb_balances_dosha,Balancing,Medium,Drying,Astringent
49,2,herb_balances_dosha,Balancing,Medium,Cooling,Astringent
49,3,herb_balances_dosha,Balancing,High,Drying,Astringent
50,2,herb_balances_dosha,Balancing,Medium,Cooling,Astringent
50,3,herb_balances_dosha,Balancing,High,Drying,Astringent
51,2,herb_balances_dosha,Balancing,High,Cooling,Astringent
51,3,herb_balances_dosha,Balancing,Medium,Drying,Astringent
52,1,herb_balances_dosha,Balancing,Medium,Warming,Analgesic
52,3,herb_balances_dosha,Balancing,High,Warming,Drying
53,1,herb_balances_dosha,Balancing,High,Drying,Diuretic
53,2,herb_balances_dosha,Balancing,Medium,Cooling,Diuretic
54,2,herb_balances_dosha,Balancing,High,Cooling,Astringent
54,3,herb_balances_dosha,Balancing,Medium,Drying,Astringent
55,1,herb_balances_dosha,Balancing,High,Grounding,Rejuvenating
55,2,herb_balances_dosha,Balancing,Medium,Cooling,Rejuvenating
56,1,herb_balances_dosha,Balancing,High,Grounding,Nourishing
56,2,herb_balances_dosha,Balancing,Medium,Cooling,Nourishing
57,1,herb_balances_dosha,Balancing,High,Grounding,Nourishing
57,2,herb_balances_dosha,Balancing,Medium,Cooling,Nourishing
58,1,herb_balances_dosha,Balancing,Medium,Warming,Laxative
58,2,herb_balances_dosha,Balancing,High,Warming,Laxative
59,1,herb_balances_dosha,Balancing,High,Grounding,Stimulating
59,3,herb_balances_dosha,Balancing,Medium,Drying,Stimulating
60,1,herb_balances_dosha,Balancing,High,Grounding,Calming
60,3,herb_balances_dosha,Balancing,Medium,Drying,Calming
61,2,herb_balances_dosha,Balancing,High,Cooling,Rejuvenating
61,1,herb_balances_dosha,Balancing,Medium,Grounding,Rejuvenating
62,2,herb_balances_dosha,Balancing,Medium,Cooling,Astringent
62,3,herb_balances_dosha,Balancing,High,Drying,Astringent
63,1,herb_balances_dosha,Balancing,High,Drying,Astringent
63,3,herb_balances_dosha,Balancing,Medium,Drying,Astringent
64,2,herb_balances_dosha,Balancing,High,Cooling,Hair nourishing
64,3,herb_balances_dosha,Balancing,Medium,Drying,Hair nourishing
65,1,herb_balances_dosha,Balancing,Medium,Warming,Digestive stimulant
65,3,herb_balances_dosha,Balancing,High,Warming,Digestive stimulant
66,1,herb_balances_dosha,Balancing,Medium,Warming,Stimulating
66,2,herb_balances_dosha,Balancing,High,Warming,Stimulating
