source_node_id,target_node_id,relationship_type
1,3,herb_has_chemical_group
1,9,herb_has_chemical_group
1,10,herb_has_chemical_group
2,4,herb_has_chemical_group
3,3,herb_has_chemical_group
3,10,herb_has_chemical_group
4,1,herb_has_chemical_group
4,2,herb_has_chemical_group
4,4,herb_has_chemical_group
5,1,herb_has_chemical_group
5,5,herb_has_chemical_group
6,8,herb_has_chemical_group
7,8,herb_has_chemical_group
8,2,herb_has_chemical_group
8,8,herb_has_chemical_group
9,3,herb_has_chemical_group
10,3,herb_has_chemical_group
10,4,herb_has_chemical_group
11,2,herb_has_chemical_group
11,6,herb_has_chemical_group
11,9,herb_has_chemical_group
11,10,herb_has_chemical_group
12,5,herb_has_chemical_group
13,4,herb_has_chemical_group
13,5,herb_has_chemical_group
13,6,herb_has_chemical_group
13,7,herb_has_chemical_group
14,1,herb_has_chemical_group
15,2,herb_has_chemical_group
15,6,herb_has_chemical_group
15,7,herb_has_chemical_group
16,1,herb_has_chemical_group
16,3,herb_has_chemical_group
17,4,herb_has_chemical_group
17,10,herb_has_chemical_group
18,9,herb_has_chemical_group
18,10,herb_has_chemical_group
19,1,herb_has_chemical_group
19,6,herb_has_chemical_group
19,8,herb_has_chemical_group
19,10,herb_has_chemical_group
20,6,herb_has_chemical_group
21,1,herb_has_chemical_group
21,2,herb_has_chemical_group
21,3,herb_has_chemical_group
21,10,herb_has_chemical_group
22,4,herb_has_chemical_group
22,6,herb_has_chemical_group
23,3,herb_has_chemical_group
23,8,herb_has_chemical_group
24,4,herb_has_chemical_group
24,5,herb_has_chemical_group
25,9,herb_has_chemical_group
26,6,herb_has_chemical_group
27,1,herb_has_chemical_group
27,3,herb_has_chemical_group
27,5,herb_has_chemical_group
27,10,herb_has_chemical_group
28,1,herb_has_chemical_group
28,6,herb_has_chemical_group
28,7,herb_has_chemical_group
29,3,herb_has_chemical_group
29,10,herb_has_chemical_group
30,5,herb_has_chemical_group
30,8,herb_has_chemical_group
30,9,herb_has_chemical_group
30,10,herb_has_chemical_group
31,2,herb_has_chemical_group
32,1,herb_has_chemical_group
32,2,herb_has_chemical_group
32,4,herb_has_chemical_group
32,8,herb_has_chemical_group
33,1,herb_has_chemical_group
33,4,herb_has_chemical_group
33,6,herb_has_chemical_group
33,9,herb_has_chemical_group
34,8,herb_has_chemical_group
34,10,herb_has_chemical_group
35,6,herb_has_chemical_group
