source_node_id,target_node_id,relationship_type
1,1,herb_has_guna
1,10,herb_has_guna
2,3,herb_has_guna
2,17,herb_has_guna
3,1,herb_has_guna
3,15,herb_has_guna
4,4,herb_has_guna
4,14,herb_has_guna
5,7,herb_has_guna
5,18,herb_has_guna
6,8,herb_has_guna
7,13,herb_has_guna
8,2,herb_has_guna
8,1,herb_has_guna
8,16,herb_has_guna
9,11,herb_has_guna
10,16,herb_has_guna
11,12,herb_has_guna
12,7,herb_has_guna
12,19,herb_has_guna
13,2,herb_has_guna
13,12,herb_has_guna
14,9,herb_has_guna
14,10,herb_has_guna
14,16,herb_has_guna
15,20,herb_has_guna
16,10,herb_has_guna
16,12,herb_has_guna
16,2,herb_has_guna
17,17,herb_has_guna
18,19,herb_has_guna
18,18,herb_has_guna
19,14,herb_has_guna
19,17,herb_has_guna
19,1,herb_has_guna
20,13,herb_has_guna
21,13,herb_has_guna
21,10,herb_has_guna
22,10,herb_has_guna
23,6,herb_has_guna
23,13,herb_has_guna
23,18,herb_has_guna
24,7,herb_has_guna
25,16,herb_has_guna
26,17,herb_has_guna
27,15,herb_has_guna
28,9,herb_has_guna
28,1,herb_has_guna
28,16,herb_has_guna
29,18,herb_has_guna
30,7,herb_has_guna
30,5,herb_has_guna
31,18,herb_has_guna
31,3,herb_has_guna
32,11,herb_has_guna
32,14,herb_has_guna
33,1,herb_has_guna
33,12,herb_has_guna
33,6,herb_has_guna
34,15,herb_has_guna
34,1,herb_has_guna
34,12,herb_has_guna
35,1,herb_has_guna
35,15,herb_has_guna
35,12,herb_has_guna
36,5,herb_has_guna
37,4,herb_has_guna
38,13,herb_has_guna
38,1,herb_has_guna
39,10,herb_has_guna
39,2,herb_has_guna
39,17,herb_has_guna
40,5,herb_has_guna
40,8,herb_has_guna
40,2,herb_has_guna
41,17,herb_has_guna
42,5,herb_has_guna
42,12,herb_has_guna
43,6,herb_has_guna
43,18,herb_has_guna
43,5,herb_has_guna
44,19,herb_has_guna
44,12,herb_has_guna
44,13,herb_has_guna
45,4,herb_has_guna
45,20,herb_has_guna
45,14,herb_has_guna
46,6,herb_has_guna
46,4,herb_has_guna
46,14,herb_has_guna
47,1,herb_has_guna
47,10,herb_has_guna
48,17,herb_has_guna
49,1,herb_has_guna
50,1,herb_has_guna
51,13,herb_has_guna
51,8,herb_has_guna
51,14,herb_has_guna
52,4,herb_has_guna
52,9,herb_has_guna
53,5,herb_has_guna
54,15,herb_has_guna
54,14,herb_has_guna
54,17,herb_has_guna
55,1,herb_has_guna
55,10,herb_has_guna
56,5,herb_has_guna
57,8,herb_has_guna
58,18,herb_has_guna
58,12,herb_has_guna
58,6,herb_has_guna
59,8,herb_has_guna
59,12,herb_has_guna
59,15,herb_has_guna
60,19,herb_has_guna
60,1,herb_has_guna
61,11,herb_has_guna
61,14,herb_has_guna
62,15,herb_has_guna
63,4,herb_has_guna
64,7,herb_has_guna
64,15,herb_has_guna
65,9,herb_has_guna
65,5,herb_has_guna
65,11,herb_has_guna
66,12,herb_has_guna
66,8,herb_has_guna
66,1,herb_has_guna
67,19,herb_has_guna
68,20,herb_has_guna
