source_node_id,target_node_id,relationship_type,intensity
1,5,herb_has_rasa,High
2,4,herb_has_rasa,Low
3,3,herb_has_rasa,High
4,5,herb_has_rasa,Medium
5,5,herb_has_rasa,Low
6,4,herb_has_rasa,High
7,2,herb_has_rasa,Low
8,1,herb_has_rasa,Medium
9,4,herb_has_rasa,Medium
10,4,herb_has_rasa,High
11,6,herb_has_rasa,Low
12,6,herb_has_rasa,Low
13,6,herb_has_rasa,Medium
14,1,herb_has_rasa,Medium
15,4,herb_has_rasa,Low
16,1,herb_has_rasa,Low
17,1,herb_has_rasa,Low
18,5,herb_has_rasa,Low
19,5,herb_has_rasa,Medium
20,5,herb_has_rasa,Low
21,5,herb_has_rasa,Medium
22,5,herb_has_rasa,Low
23,2,herb_has_rasa,High
24,4,herb_has_rasa,Low
25,5,herb_has_rasa,High
26,5,herb_has_rasa,High
27,4,herb_has_rasa,Low
28,5,herb_has_rasa,Low
29,4,herb_has_rasa,Low
30,1,herb_has_rasa,Low
31,4,herb_has_rasa,High
32,1,herb_has_rasa,Low
33,5,herb_has_rasa,High
34,1,herb_has_rasa,Medium
35,5,herb_has_rasa,Medium
36,5,herb_has_rasa,Medium
37,4,herb_has_rasa,High
38,5,herb_has_rasa,Low
39,4,herb_has_rasa,High
40,5,herb_has_rasa,Low
41,5,herb_has_rasa,High
42,1,herb_has_rasa,Low
43,5,herb_has_rasa,Low
44,1,herb_has_rasa,Low
45,1,herb_has_rasa,Low
46,5,herb_has_rasa,High
47,5,herb_has_rasa,Low
48,6,herb_has_rasa,Low
49,1,herb_has_rasa,Low
50,6,herb_has_rasa,High
51,5,herb_has_rasa,Medium
52,5,herb_has_rasa,Low
53,5,herb_has_rasa,High
54,5,herb_has_rasa,Medium
55,1,herb_has_rasa,Medium
56,1,herb_has_rasa,Medium
57,1,herb_has_rasa,High
58,5,herb_has_rasa,Low
59,5,herb_has_rasa,High
60,5,herb_has_rasa,Medium
61,2,herb_has_rasa,High
62,6,herb_has_rasa,Medium
63,6,herb_has_rasa,High
64,5,herb_has_rasa,Medium
65,5,herb_has_rasa,Medium
66,5,herb_has_rasa,High
67,4,herb_has_rasa,Low
68,4,herb_has_rasa,High
69,4,herb_has_rasa,High
70,5,herb_has_rasa,Medium
71,5,herb_has_rasa,High
72,1,herb_has_rasa,High
73,5,herb_has_rasa,Low
74,5,herb_has_rasa,Medium
75,5,herb_has_rasa,High
76,5,herb_has_rasa,Low
77,5,herb_has_rasa,Medium
78,5,herb_has_rasa,Low
79,5,herb_has_rasa,High
80,5,herb_has_rasa,High
81,5,herb_has_rasa,High
82,5,herb_has_rasa,Medium
83,3,herb_has_rasa,Low
84,4,herb_has_rasa,Medium
85,5,herb_has_rasa,Medium
86,5,herb_has_rasa,Medium
87,5,herb_has_rasa,Medium
88,5,herb_has_rasa,Low
89,5,herb_has_rasa,High
90,5,herb_has_rasa,Low
91,1,herb_has_rasa,High
92,5,herb_has_rasa,Medium
93,5,herb_has_rasa,High
94,5,herb_has_rasa,Medium
95,5,herb_has_rasa,High
96,4,herb_has_rasa,High
97,4,herb_has_rasa,Low
98,4,herb_has_rasa,Low
99,4,herb_has_rasa,Medium
100,5,herb_has_rasa,High
101,4,herb_has_rasa,High
102,5,herb_has_rasa,High
103,5,herb_has_rasa,High
104,5,herb_has_rasa,High
105,5,herb_has_rasa,High
106,5,herb_has_rasa,High
107,1,herb_has_rasa,Low
108,5,herb_has_rasa,High
109,5,herb_has_rasa,Medium
110,1,herb_has_rasa,Medium
111,5,herb_has_rasa,High
112,6,herb_has_rasa,Low
113,5,herb_has_rasa,Medium
114,5,herb_has_rasa,High
115,5,herb_has_rasa,Low
116,5,herb_has_rasa,High
117,5,herb_has_rasa,High
118,1,herb_has_rasa,Medium
119,1,herb_has_rasa,High
120,1,herb_has_rasa,Low
121,5,herb_has_rasa,Low
122,5,herb_has_rasa,Low
123,5,herb_has_rasa,Low
124,5,herb_has_rasa,Low
125,5,herb_has_rasa,Low
126,1,herb_has_rasa,High
127,1,herb_has_rasa,Medium
128,1,herb_has_rasa,High
129,1,herb_has_rasa,Low
130,5,herb_has_rasa,Medium
131,5,herb_has_rasa,High
132,5,herb_has_rasa,Low
133,4,herb_has_rasa,Low
134,5,herb_has_rasa,High
135,4,herb_has_rasa,Medium
136,1,herb_has_rasa,Low
137,1,herb_has_rasa,Low
138,5,herb_has_rasa,Low
139,6,herb_has_rasa,High
140,6,herb_has_rasa,Low
141,2,herb_has_rasa,High
142,1,herb_has_rasa,Medium
143,4,herb_has_rasa,Medium
144,4,herb_has_rasa,High
145,4,herb_has_rasa,Low
146,1,herb_has_rasa,High
147,1,herb_has_rasa,High
148,1,herb_has_rasa,Medium
149,5,herb_has_rasa,High
150,5,herb_has_rasa,Medium
151,1,herb_has_rasa,Low
152,6,herb_has_rasa,Medium
153,6,herb_has_rasa,Low
154,2,herb_has_rasa,High
155,1,herb_has_rasa,Medium
156,4,herb_has_rasa,Low
157,4,herb_has_rasa,Low
158,4,herb_has_rasa,High
159,4,herb_has_rasa,Low
160,4,herb_has_rasa,Low
161,5,herb_has_rasa,High
162,5,herb_has_rasa,Medium
163,1,herb_has_rasa,Medium
164,5,herb_has_rasa,High
165,5,herb_has_rasa,High
166,5,herb_has_rasa,High
167,5,herb_has_rasa,High
168,5,herb_has_rasa,High
169,5,herb_has_rasa,Low
170,5,herb_has_rasa,Low
171,5,herb_has_rasa,Medium
172,5,herb_has_rasa,High
173,1,herb_has_rasa,High
174,5,herb_has_rasa,High
175,5,herb_has_rasa,Medium
176,5,herb_has_rasa,Medium
177,5,herb_has_rasa,High
178,5,herb_has_rasa,Medium
179,5,herb_has_rasa,Medium
180,5,herb_has_rasa,Medium
181,5,herb_has_rasa,Low
182,5,herb_has_rasa,Low
183,4,herb_has_rasa,Medium
184,5,herb_has_rasa,High
185,5,herb_has_rasa,High
186,4,herb_has_rasa,Medium
187,5,herb_has_rasa,High
188,4,herb_has_rasa,Medium
189,5,herb_has_rasa,High
190,1,herb_has_rasa,High
191,5,herb_has_rasa,Medium
192,5,herb_has_rasa,Medium
193,5,herb_has_rasa,Medium
194,1,herb_has_rasa,Low
195,5,herb_has_rasa,High
196,4,herb_has_rasa,Low
197,4,herb_has_rasa,High
198,4,herb_has_rasa,Low
199,4,herb_has_rasa,Medium
200,5,herb_has_rasa,Low
201,5,herb_has_rasa,Medium
202,5,herb_has_rasa,Low
203,5,herb_has_rasa,High
204,1,herb_has_rasa,Low
207,2,herb_has_rasa,Medium
208,2,herb_has_rasa,High
209,3,herb_has_rasa,Low
210,5,herb_has_rasa,High
211,2,herb_has_rasa,High
212,5,herb_has_rasa,High
213,1,herb_has_rasa,Low
214,6,herb_has_rasa,Low
215,1,herb_has_rasa,Low
216,4,herb_has_rasa,Medium
