source_node_id,target_node_id,relationship_type,target_specificity,affinity_strength,mechanism_of_action
1,1,herb_targets_body_part,High,Strong,Adaptogenic modulation
1,10,herb_targets_body_part,High,Strong,Neuroprotective action
2,3,herb_targets_body_part,High,Strong,Hepatoprotective action
2,7,herb_targets_body_part,High,Strong,Anti-inflammatory action
3,5,herb_targets_body_part,High,Strong,Digestive stimulation
3,6,herb_targets_body_part,High,Strong,Antioxidant action
4,1,herb_targets_body_part,High,Strong,Nootropic action
4,10,herb_targets_body_part,High,Strong,Neuroprotective action
5,7,herb_targets_body_part,High,Strong,Antimicrobial action
5,3,herb_targets_body_part,Medium,Strong,Detoxification
6,5,herb_targets_body_part,High,Strong,Carminative action
6,4,herb_targets_body_part,Medium,Strong,Expectorant action
7,3,herb_targets_body_part,High,Strong,Hepatoprotective action
7,9,herb_targets_body_part,High,Strong,Immunomodulatory action
8,12,herb_targets_body_part,High,Strong,Hormonal modulation
8,5,herb_targets_body_part,Medium,Strong,Gastroprotective action
9,8,herb_targets_body_part,High,Strong,Anti-inflammatory action
9,11,herb_targets_body_part,High,Strong,Lipid-lowering action
10,4,herb_targets_body_part,High,Strong,Respiratory support
10,9,herb_targets_body_part,Medium,Strong,Immunomodulatory action
11,2,herb_targets_body_part,High,Strong,Cardiotonic action
11,8,herb_targets_body_part,Medium,Strong,Astringent action
12,6,herb_targets_body_part,High,Strong,Laxative action
12,5,herb_targets_body_part,Medium,Strong,Digestive action
13,6,herb_targets_body_part,High,Strong,Astringent action
13,5,herb_targets_body_part,Medium,Strong,Digestive action
14,5,herb_targets_body_part,High,Strong,Demulcent action
14,4,herb_targets_body_part,Medium,Strong,Respiratory support
15,5,herb_targets_body_part,High,Strong,Carminative action
15,6,herb_targets_body_part,Medium,Strong,Digestive stimulation
16,8,herb_targets_body_part,High,Strong,Diuretic action
16,11,herb_targets_body_part,Medium,Strong,Aphrodisiac action
17,1,herb_targets_body_part,High,Strong,Nootropic action
17,10,herb_targets_body_part,Medium,Strong,Anxiolytic action
18,1,herb_targets_body_part,High,Strong,Sedative action
18,10,herb_targets_body_part,Medium,Strong,Anxiolytic action
19,7,herb_targets_body_part,High,Strong,Hair tonic action
19,3,herb_targets_body_part,Medium,Strong,Hepatoprotective action
20,7,herb_targets_body_part,High,Strong,Blood purifying action
20,9,herb_targets_body_part,Medium,Strong,Anti-inflammatory action
21,3,herb_targets_body_part,High,Strong,Hepatoprotective action
21,6,herb_targets_body_part,Medium,Strong,Bitter tonic action
22,9,herb_targets_body_part,High,Strong,Immunomodulatory action
22,10,herb_targets_body_part,Medium,Strong,Anti-inflammatory action
23,3,herb_targets_body_part,High,Strong,Hepatoprotective action
23,9,herb_targets_body_part,Medium,Strong,Immunomodulatory action
24,5,herb_targets_body_part,High,Strong,Digestive stimulant action
24,6,herb_targets_body_part,Medium,Strong,Anthelmintic action
25,8,herb_targets_body_part,High,Strong,Diuretic action
25,11,herb_targets_body_part,Medium,Strong,Cardiotonic action
26,5,herb_targets_body_part,High,Strong,Carminative action
26,6,herb_targets_body_part,Medium,Strong,Anti-spasmodic action
27,3,herb_targets_body_part,High,Strong,Hepatoprotective action
27,7,herb_targets_body_part,Medium,Strong,Anti-inflammatory action
28,3,herb_targets_body_part,High,Strong,Hepatoprotective action
28,6,herb_targets_body_part,Medium,Strong,Antimicrobial action
29,5,herb_targets_body_part,High,Strong,Carminative action
29,4,herb_targets_body_part,Medium,Strong,Circulatory stimulant action
30,5,herb_targets_body_part,High,Strong,Demulcent action
30,4,herb_targets_body_part,Medium,Strong,Respiratory support
31,5,herb_targets_body_part,High,Strong,Carminative action
31,6,herb_targets_body_part,Medium,Strong,Anthelmintic action
32,12,herb_targets_body_part,High,Strong,Aphrodisiac action
32,1,herb_targets_body_part,Medium,Strong,Rejuvenative action
33,1,herb_targets_body_part,High,Strong,Rejuvenative action
33,8,herb_targets_body_part,Medium,Strong,Anti-inflammatory action
34,1,herb_targets_body_part,High,Strong,Rejuvenative action
34,12,herb_targets_body_part,Medium,Strong,Nourishing action
35,1,herb_targets_body_part,High,Strong,Nootropic action
35,10,herb_targets_body_part,Medium,Strong,Cognitive enhancement
36,8,herb_targets_body_part,High,Strong,Anti-inflammatory action
36,10,herb_targets_body_part,Medium,Strong,Analgesic action
37,6,herb_targets_body_part,High,Strong,Laxative action
37,5,herb_targets_body_part,Medium,Strong,Anti-inflammatory action
38,8,herb_targets_body_part,High,Strong,Anti-inflammatory action
38,10,herb_targets_body_part,Medium,Strong,Analgesic action
39,8,herb_targets_body_part,High,Strong,Anti-inflammatory action
39,5,herb_targets_body_part,Medium,Strong,Digestive stimulant action
40,8,herb_targets_body_part,High,Strong,Bone healing action
40,1,herb_targets_body_part,Medium,Strong,Rejuvenative action
41,3,herb_targets_body_part,High,Strong,Anti-diabetic action
41,6,herb_targets_body_part,Medium,Strong,Hepatoprotective action
42,5,herb_targets_body_part,High,Strong,Demulcent action
42,4,herb_targets_body_part,Medium,Strong,Respiratory support
43,8,herb_targets_body_part,High,Strong,Anti-inflammatory action
43,10,herb_targets_body_part,Medium,Strong,Analgesic action
44,10,herb_targets_body_part,High,Strong,Muscle strengthener action
44,8,herb_targets_body_part,Medium,Strong,Anti-inflammatory action
45,10,herb_targets_body_part,High,Strong,Muscle strengthener action
45,8,herb_targets_body_part,Medium,Strong,Anti-inflammatory action
46,4,herb_targets_body_part,High,Strong,Expectorant action
46,10,herb_targets_body_part,Medium,Strong,Anti-inflammatory action
47,3,herb_targets_body_part,High,Strong,Hepatoprotective action
47,1,herb_targets_body_part,Medium,Strong,Rejuvenative action
48,2,herb_targets_body_part,High,Strong,Astringent action
48,8,herb_targets_body_part,Medium,Strong,Hemostatic action
49,8,herb_targets_body_part,High,Strong,Astringent action
49,7,herb_targets_body_part,Medium,Strong,Hemostatic action
50,8,herb_targets_body_part,High,Strong,Astringent action
