source_node_id,target_node_id,relationship_type,indicator_strength,specificity,diagnostic_value
1,1,symptom_indicates_dosha_imbalance,High,Medium,High
2,2,symptom_indicates_dosha_imbalance,High,High,High
3,2,symptom_indicates_dosha_imbalance,High,High,High
4,1,symptom_indicates_dosha_imbalance,High,High,High
5,2,symptom_indicates_dosha_imbalance,High,High,High
6,3,symptom_indicates_dosha_imbalance,High,Medium,High
7,1,symptom_indicates_dosha_imbalance,Medium,Medium,Medium
8,3,symptom_indicates_dosha_imbalance,High,High,High
9,2,symptom_indicates_dosha_imbalance,High,High,High
10,1,symptom_indicates_dosha_imbalance,High,Medium,High
11,1,symptom_indicates_dosha_imbalance,High,High,High
12,3,symptom_indicates_dosha_imbalance,High,Medium,High
13,1,symptom_indicates_dosha_imbalance,High,High,High
14,1,symptom_indicates_dosha_imbalance,Medium,Medium,Medium
15,3,symptom_indicates_dosha_imbalance,High,High,High
16,2,symptom_indicates_dosha_imbalance,High,High,High
17,1,symptom_indicates_dosha_imbalance,High,Medium,High
18,2,symptom_indicates_dosha_imbalance,High,High,High
19,1,symptom_indicates_dosha_imbalance,High,Medium,High
20,1,symptom_indicates_dosha_imbalance,High,High,High
21,2,symptom_indicates_dosha_imbalance,High,High,High
22,2,symptom_indicates_dosha_imbalance,High,High,High
23,2,symptom_indicates_dosha_imbalance,High,High,High
24,3,symptom_indicates_dosha_imbalance,High,Medium,High
25,2,symptom_indicates_dosha_imbalance,High,High,High
26,2,symptom_indicates_dosha_imbalance,High,High,High
27,2,symptom_indicates_dosha_imbalance,High,High,High
28,2,symptom_indicates_dosha_imbalance,High,High,High
29,2,symptom_indicates_dosha_imbalance,High,High,High
30,2,symptom_indicates_dosha_imbalance,High,High,High
31,3,symptom_indicates_dosha_imbalance,High,High,High
32,1,symptom_indicates_dosha_imbalance,High,High,High
33,1,symptom_indicates_dosha_imbalance,High,High,High
34,1,symptom_indicates_dosha_imbalance,High,High,High
35,1,symptom_indicates_dosha_imbalance,High,High,High
36,1,symptom_indicates_dosha_imbalance,High,Medium,High
37,2,symptom_indicates_dosha_imbalance,High,High,High
38,2,symptom_indicates_dosha_imbalance,High,High,High
39,1,symptom_indicates_dosha_imbalance,High,High,High
40,1,symptom_indicates_dosha_imbalance,High,High,High
41,2,symptom_indicates_dosha_imbalance,High,High,High
42,2,symptom_indicates_dosha_imbalance,High,High,High
43,1,symptom_indicates_dosha_imbalance,Medium,Medium,Medium
44,3,symptom_indicates_dosha_imbalance,High,Medium,High
45,1,symptom_indicates_dosha_imbalance,High,Medium,High
46,2,symptom_indicates_dosha_imbalance,High,High,High
47,3,symptom_indicates_dosha_imbalance,High,High,High
48,3,symptom_indicates_dosha_imbalance,High,High,High
49,3,symptom_indicates_dosha_imbalance,High,High,High
50,3,symptom_indicates_dosha_imbalance,High,High,High
51,2,symptom_indicates_dosha_imbalance,High,High,High
52,1,symptom_indicates_dosha_imbalance,High,Medium,High
53,1,symptom_indicates_dosha_imbalance,High,High,High
54,1,symptom_indicates_dosha_imbalance,High,High,High
55,1,symptom_indicates_dosha_imbalance,High,High,High
56,2,symptom_indicates_dosha_imbalance,High,High,High
57,2,symptom_indicates_dosha_imbalance,High,High,High
58,2,symptom_indicates_dosha_imbalance,High,High,High
59,1,symptom_indicates_dosha_imbalance,Medium,Medium,Medium
60,2,symptom_indicates_dosha_imbalance,High,High,High
61,1,symptom_indicates_dosha_imbalance,High,Medium,High
62,3,symptom_indicates_dosha_imbalance,High,High,High
63,2,symptom_indicates_dosha_imbalance,High,High,High
64,3,symptom_indicates_dosha_imbalance,High,Medium,High
65,1,symptom_indicates_dosha_imbalance,High,Medium,High
