relationship_id,herb_id,symptom_id,effectiveness_score,classical_reference,dosage_for_symptom,preparation_method,duration_of_treatment,supporting_herbs
R0001,H0001,S0001,0.85,Charaka Samhita,6 gm BD,Churna,30 days,"H0003, H0020"
R0002,H0002,S0013,0.92,Sushruta Samhita,3 gm TDS,Kwatha,45 days,"H0010, H0021"
R0003,H0003,S0030,0.78,Ashtanga Hridaya,4 gm BD,Taila,60 days,"H0019, H0020"
R0004,H0004,S0024,0.91,Madhava Nidana,8 gm QDS,Ghrita,21 days,"H0031, H0032"
R0005,H0005,S0021,0.76,Bhavaprakasha,2 gm BD,Lehya,35 days,"H0006, H0023"
R0006,H0006,S0003,0.83,Yoga Ratnakara,7 gm TDS,Vati,28 days,"H0024, H0064"
R0007,H0007,S0004,0.89,Sharangdhara Samhita,1 gm QDS,Bhasma,42 days,"H0016, H0017"
R0008,H0008,S0017,0.74,Kashyapa Samhita,5 gm BD,Churna,56 days,"H0018, H0025"
R0009,H0009,S0011,0.87,Charaka Samhita,9 gm TDS,Kwatha,49 days,"H0015, H0040"
R0010,H0010,S0042,0.69,Sushruta Samhita,3 gm BD,Taila,63 days,"H0037, H0055"
R0011,H0011,S0017,0.94,Ashtanga Hridaya,6 gm QDS,Ghrita,35 days,"H0016, H0044"
R0012,H0012,S0037,0.81,Madhava Nidana,2 gm TDS,Lehya,77 days,"H0038, H0054"
R0013,H0013,S0056,0.73,Bhavaprakasha,8 gm BD,Vati,28 days,"H0032, H0058"
R0014,H0014,S0018,0.96,Yoga Ratnakara,4 gm QDS,Bhasma,84 days,"H0059, H0060"
R0015,H0015,S0024,0.66,Sharangdhara Samhita,1 gm TDS,Churna,21 days,"H0082, H0091"
R0016,H0016,S0004,0.88,Kashyapa Samhita,7 gm BD,Kwatha,91 days,"H0007, H0017"
R0017,H0017,S0004,0.85,Charaka Samhita,5 gm QDS,Taila,42 days,"H0007, H0016"
R0018,H0018,S0017,0.79,Sushruta Samhita,3 gm TDS,Ghrita,56 days,"H0008, H0025"
R0019,H0019,S0030,0.72,Ashtanga Hridaya,9 gm BD,Lehya,35 days,"H0003, H0070"
R0020,H0020,S0013,0.9,Madhava Nidana,6 gm QDS,Vati,49 days,"H0019, H0043"
R0021,H0021,S0021,0.68,Bhavaprakasha,2 gm TDS,Bhasma,28 days,"H0048, H0071"
R0022,H0022,S0003,0.84,Yoga Ratnakara,8 gm BD,Churna,63 days,"H0023, H0075"
R0023,H0023,S0021,0.77,Sharangdhara Samhita,4 gm QDS,Kwatha,77 days,"H0022, H0074"
R0024,H0024,S0003,0.93,Kashyapa Samhita,1 gm TDS,Taila,14 days,"H0006, H0067"
R0025,H0025,S0017,0.71,Charaka Samhita,7 gm BD,Ghrita,91 days,"H0026, H0061"
R0026,H0026,S0018,0.86,Sushruta Samhita,5 gm QDS,Lehya,56 days,"H0027, H0068"
R0027,H0027,S0012,0.64,Ashtanga Hridaya,3 gm TDS,Vati,42 days,"H0026, H0056"
R0028,H0028,S0056,0.89,Madhava Nidana,9 gm BD,Bhasma,35 days,"H0029, H0046"
R0029,H0029,S0012,0.75,Bhavaprakasha,6 gm QDS,Churna,70 days,"H0028, H0051"
R0030,H0030,S0024,0.82,Yoga Ratnakara,2 gm TDS,Kwatha,21 days,"H0061, H0085"
R0031,H0031,S0024,0.78,Sharangdhara Samhita,8 gm BD,Taila,84 days,"H0004, H0060"
R0032,H0032,S0056,0.95,Kashyapa Samhita,4 gm QDS,Ghrita,49 days,"H0013, H0058"
R0033,H0033,S0003,0.69,Charaka Samhita,1 gm TDS,Lehya,63 days,"H0076, H0034"
R0034,H0034,S0056,0.87,Sushruta Samhita,7 gm BD,Vati,28 days,"H0033, H0035"
R0035,H0035,S0030,0.73,Ashtanga Hridaya,5 gm QDS,Bhasma,77 days,"H0036, H0069"
R0036,H0036,S0030,0.91,Madhava Nidana,3 gm TDS,Churna,14 days,"H0035, H0094"
R0037,H0037,S0042,0.66,Bhavaprakasha,9 gm BD,Kwatha,91 days,"H0010, H0090"
R0038,H0038,S0037,0.88,Yoga Ratnakara,6 gm QDS,Taila,56 days,"H0012, H0062"
R0039,H0039,S0043,0.74,Sharangdhara Samhita,2 gm TDS,Ghrita,42 days,"H0090, H0037"
R0040,H0040,S0002,0.92,Kashyapa Samhita,8 gm BD,Lehya,21 days,"H0009, H0053"
R0041,H0041,S0021,0.67,Charaka Samhita,4 gm QDS,Vati,84 days,"H0072, H0087"
R0042,H0042,S0014,0.8,Sushruta Samhita,1 gm TDS,Bhasma,35 days,"H0043, H0020"
R0043,H0043,S0013,0.85,Ashtanga Hridaya,7 gm BD,Churna,70 days,"H0020, H0042"
R0044,H0044,S0024,0.71,Madhava Nidana,5 gm QDS,Kwatha,28 days,"H0015, H0082"
R0045,H0045,S0023,0.93,Bhavaprakasha,3 gm TDS,Taila,49 days,"H0046, H0083"
R0046,H0046,S0023,0.68,Yoga Ratnakara,9 gm BD,Ghrita,63 days,"H0045, H0092"
R0047,H0047,S0039,0.86,Sharangdhara Samhita,6 gm QDS,Lehya,14 days,"H0081, H0082"
R0048,H0048,S0003,0.74,Kashyapa Samhita,2 gm TDS,Vati,91 days,"H0049, H0085"
