herb_id,herb_name_english,herb_name_sanskrit,herb_name_hindi,rasa_taste,virya_potency,vipaka_post_digestive_effect,prabhava_special_effect,vata_effect,pitta_effect,kapha_effect,part_used,preparation_method,dosage,contraindications,scientific_name,description
H0001,Turmeric,Haridra,Haldi,"Katu, Tikta",Ushna,Katu,Prabhava-37,Shamaka,Sama,Vardhaka,Root,Churna,6 gm BD,Pregnancy,Curcuma longa,Classical Ayurvedic herb with Katu and Tikta taste and Ushna potency
H0002,Ashwagandha,Ashwagandha,Ashwagandha,"Tikta, Kashaya, Madhura",Ushna,Madhura,Prabhava-58,Shamaka,Sama,Vardhaka,Root,Kwatha,3 gm TDS,None,Withania somnifera,Classical Ayurvedic herb with Tikta Kashaya and Madhura taste and Ushna potency
H0003,Brahmi,Brahmi,Brahmi,Tikta,Sheeta,Madhura,Prabhava-73,Shamaka,Shamaka,Vardhaka,Leaf,Taila,4 gm BD,Hypertension,Bacopa monnieri,Classical Ayurvedic herb with Tikta taste and Sheeta potency
H0004,Neem,Nimba,Neem,"Tikta, Kashaya",Sheeta,Katu,Prabhava-19,Shamaka,Shamaka,Shamaka,Leaf,Ghrita,8 gm QDS,Pregnancy,Azadirachta indica,Classical Ayurvedic herb with Tikta and Kashaya taste and Sheeta potency
H0005,Tulsi,Tulasi,Tulsi,"Katu, Tikta",Ushna,Katu,Prabhava-91,Shamaka,Sama,Vardhaka,Leaf,Lehya,2 gm BD,None,Ocimum tenuiflorum,Classical Ayurvedic herb with Katu and Tikta taste and Ushna potency
H0006,Ginger,Ardraka,Adrak,Katu,Ushna,Madhura,Prabhava-15,Shamaka,Vardhaka,Shamaka,Rhizome,Vati,7 gm TDS,Hypertension,Zingiber officinale,Classical Ayurvedic herb with Katu taste and Ushna potency
H0007,Triphala,Triphala,Triphala,"Madhura, Amla, Kashaya",Sheeta,Madhura,Prabhava-46,Sama,Shamaka,Shamaka,Fruit,Bhasma,1 gm QDS,Diabetes,Terminalia chebula mix,Classical Ayurvedic herb with Madhura Amla and Kashaya taste and Sheeta potency
H0008,Amla,Amalaki,Amla,"Amla, Madhura, Kashaya, Tikta, Katu",Sheeta,Madhura,Prabhava-72,Shamaka,Shamaka,Shamaka,Fruit,Churna,5 gm BD,None,Phyllanthus emblica,Classical Ayurvedic herb with Amla Madhura Kashaya Tikta and Katu taste and Sheeta potency
H0009,Guduchi,Guduchi,Giloy,"Tikta, Kashaya",Ushna,Madhura,Prabhava-83,Shamaka,Shamaka,Shamaka,Stem,Kwatha,9 gm TDS,Liver Disease,Tinospora cordifolia,Classical Ayurvedic herb with Tikta and Kashaya taste and Ushna potency
H0010,Shatavari,Shatavari,Shatavar,"Madhura, Tikta",Sheeta,Madhura,Prabhava-28,Shamaka,Shamaka,Vardhaka,Root,Taila,3 gm BD,None,Asparagus racemosus,Classical Ayurvedic herb with Madhura and Tikta taste and Sheeta potency
H0011,Arjuna,Arjuna,Arjun,Kashaya,Sheeta,Katu,Prabhava-65,Shamaka,Shamaka,Shamaka,Bark,Ghrita,6 gm QDS,None,Terminalia arjuna,Classical Ayurvedic herb with Kashaya taste and Sheeta potency
H0012,Punarnava,Punarnava,Punarnava,"Tikta, Katu, Kashaya",Ushna,Katu,Prabhava-7,Shamaka,Sama,Vardhaka,Root,Lehya,2 gm TDS,Pregnancy,Boerhavia diffusa,Classical Ayurvedic herb with Tikta Katu and Kashaya taste and Ushna potency
H0013,Bhumyamalaki,Bhumyamalaki,Bhumi Amla,Tikta,Sheeta,Madhura,Prabhava-54,Shamaka,Shamaka,Vardhaka,Whole Plant,Vati,8 gm BD,Hypertension,Phyllanthus niruri,Classical Ayurvedic herb with Tikta taste and Sheeta potency
H0014,Kalmegh,Kalmegh,Kalmegh,Tikta,Sheeta,Katu,Prabhava-11,Vardhaka,Shamaka,Shamaka,Leaf,Bhasma,4 gm QDS,Diabetes,Andrographis paniculata,Classical Ayurvedic herb with Tikta taste and Sheeta potency
H0015,Manjistha,Manjistha,Manjistha,"Tikta, Kashaya, Madhura",Ushna,Katu,Prabhava-96,Shamaka,Shamaka,Shamaka,Root,Churna,1 gm TDS,None,Rubia cordifolia,Classical Ayurvedic herb with Tikta Kashaya and Madhura taste and Ushna potency
H0016,Haritaki,Haritaki,Harad,"Kashaya, Tikta, Katu, Madhura, Amla",Ushna,Madhura,Prabhava-34,Shamaka,Sama,Shamaka,Fruit,Kwatha,7 gm BD,Liver Disease,Terminalia chebula,Classical Ayurvedic herb with Kashaya Tikta Katu Madhura and Amla taste and Ushna potency
H0017,Bibhitaki,Bibhitaki,Baheda,"Kashaya, Katu",Ushna,Katu,Prabhava-69,Shamaka,Sama,Shamaka,Fruit,Taila,5 gm QDS,Pregnancy,Terminalia bellirica,Classical Ayurvedic herb with Kashaya and Katu taste and Ushna potency
H0018,Amalaki,Amalaki,Amla,Amla,Sheeta,Madhura,Prabhava-42,Shamaka,Shamaka,Vardhaka,Fruit,Ghrita,3 gm TDS,None,Phyllanthus emblica,Classical Ayurvedic herb with Amla taste and Sheeta potency
H0019,Shankhpushpi,Shankhpushpi,Shankhpushpi,"Tikta, Katu",Sheeta,Madhura,Prabhava-18,Shamaka,Shamaka,Sama,Whole Plant,Lehya,9 gm BD,Hypertension,Convolvulus pluricaulis,Classical Ayurvedic herb with Tikta and Katu taste and Sheeta potency
H0020,Jatamansi,Jatamansi,Jatamansi,"Tikta, Kashaya, Madhura",Sheeta,Katu,Prabhava-85,Shamaka,Shamaka,Shamaka,Root,Vati,6 gm QDS,Diabetes,Nardostachys jatamansi,Classical Ayurvedic herb with Tikta Kashaya and Madhura taste and Sheeta potency
H0021,Yashtimadhu,Yashtimadhu,Mulethi,Madhura,Sheeta,Madhura,Prabhava-51,Shamaka,Shamaka,Vardhaka,Root,Bhasma,2 gm TDS,None,Glycyrrhiza glabra,Classical Ayurvedic herb with Madhura taste and Sheeta potency
H0022,Pippali,Pippali,Pippali,Katu,Ushna,Madhura,Prabhava-7,Shamaka,Sama,Shamaka,Fruit,Churna,8 gm BD,Liver Disease,Piper longum,Classical Ayurvedic herb with Katu taste and Ushna potency
H0023,Maricha,Maricha,Kali Mirch,Katu,Ushna,Katu,Prabhava-63,Shamaka,Vardhaka,Shamaka,Seed,Kwatha,4 gm QDS,Pregnancy,Piper nigrum,Classical Ayurvedic herb with Katu taste and Ushna potency
H0024,Shunti,Shunti,Sonth,"Katu, Madhura",Ushna,Madhura,Prabhava-29,Shamaka,Sama,Shamaka,Rhizome,Taila,1 gm TDS,None,Zingiber officinale,Classical Ayurvedic herb with Katu and Madhura taste and Ushna potency
H0025,Dadima,Dadima,Anar,"Madhura, Amla, Kashaya",Sheeta,Madhura,Prabhava-90,Shamaka,Shamaka,Shamaka,Fruit,Ghrita,7 gm BD,Hypertension,Punica granatum,Classical Ayurvedic herb with Madhura Amla and Kashaya taste and Sheeta potency
H0026,Draksha,Draksha,Angoor,Madhura,Sheeta,Madhura,Prabhava-16,Shamaka,Shamaka,Vardhaka,Fruit,Lehya,5 gm QDS,Diabetes,Vitis vinifera,Classical Ayurvedic herb with Madhura taste and Sheeta potency
H0027,Khajura,Khajura,Khajur,Madhura,Ushna,Madhura,Prabhava-47,Sama,Vardhaka,Vardhaka,Fruit,Vati,3 gm TDS,None,Phoenix dactylifera,Classical Ayurvedic herb with Madhura taste and Ushna potency
H0028,Madhu,Madhu,Shahad,"Madhura, Kashaya",Sheeta,Katu,Prabhava-73,Shamaka,Shamaka,Shamaka,Extract,Bhasma,9 gm BD,Liver Disease,Mel depuratum,Classical Ayurvedic herb with Madhura and Kashaya taste and Sheeta potency
