node_id,name,scientific_name,taste,energy,post_digestive_effect,primary_dosha_balance,secondary_dosha_balance,region,properties,uses,contraindications,medicine_forms,rasa,guna,virya,vipaka,prabhava,reduces_vata,reduces_pitta,reduces_kapha,anti_inflammatory,analgesic,carminative,antimicrobial,antioxidant,hepatoprotective,anxiolytic,antipyretic,alkaloids,flavonoids,terpenoids,phenols,tannins,saponins,glycosides,lignans,sterols,coumarins,dosha_vata,dosha_pitta,dosha_kapha
1,Ashwagandha,Withania somnifera,Bitter,Sweet,Pungent,Vata,Pitta,Rajasthan,"Adaptogenic, Rejuvenating, Anti-inflammatory, Immunomodulatory","Stress, Anxiety, Insomnia, Fatigue, Cognitive function",Pregnancy,"Churna (powder), Kwatha (decoction), Vati (tablets), Ghrita (ghee), Taila (oil)",Bitter,"Light,Mobile",Cold,Pungent,Galactagogue,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,-3,0
2,Turmeric,Curcuma longa,Pungent,Bitter,Sweet,Kapha,Pitta,West Bengal,"Anti-inflammatory, Antioxidant, Hepatoprotective, Wound healing","Arthritis, Digestive disorders, Skin conditions, Liver disorders","Gallstones, Pregnancy","Churna (powder), Kwatha (decoction), Avaleha (jam), Ghrita (ghee), Taila (oil)",Pungent,"Hot,Clear",Cold,Sweet,Rejuvenating,0,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,-3
3,Triphala,Terminalia chebula/bellirica/myrobalan,Mixed,Mixed,Mixed,All,All,Madhya Pradesh,"Digestive stimulant, Antioxidant, Immunomodulatory, Mild laxative","Digestion, Constipation, Weight management, Immunity",Diarrhea,"Churna (powder), Kwatha (decoction), Vati (tablets), Avaleha (jam)",Salty,"Light,Liquid",Cold,Sweet,Analgesic,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,-2,0
4,Brahmi,Bacopa monnieri,Bitter,Sweet,Astringent,Kapha,Vata,Uttar Pradesh,"Nootropic, Anxiolytic, Anti-epileptic, Cardioprotective","Memory enhancement, Anxiety, Epilepsy, ADHD","Pregnancy, Bradycardia","Churna (powder), Kwatha (decoction), Vati (tablets), Ghrita (ghee), Taila (oil)",Bitter,"Cold,Soft",Hot,Astringent,Rejuvenating,1,0,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,-3
5,Neem,Azadirachta indica,Bitter,Astringent,Sweet,Kapha,Pitta,Maharashtra,"Antimicrobial, Antiviral, Antifungal, Antipyretic, Anti-diabetic","Skin diseases, Fever, Dental care, Blood purification","Pregnancy, Cold constitution","Churna (powder), Kwatha (decoction), Vati (tablets), Taila (oil)",Bitter,"Smooth,Cloudy",Hot,Sweet,Carminative,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,2,-2,-3
6,Ginger,Zingiber officinale,Pungent,Sweet,Sweet,Kapha,Vata,Asia,"Carminative, Anti-emetic, Circulatory stimulant, Anti-inflammatory","Digestion, Nausea, Cold, Arthritis","Bleeding disorders, Pitta excess","Churna (powder), Kwatha (decoction), Vati (tablets), Swarasa (juice)",Pungent,Rough,Cold,Sweet,Analgesic,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-2,2,-3
7,Amla,Phyllanthus emblica,Sour,Sweet,Sweet,Pitta,All,Uttarakhand,"Rich in Vitamin C, Antioxidant, Immunomodulatory, Hepatoprotective","Immunity, Hair care, Digestion, Anti-aging","Diarrhea, Hyperacidity","Churna (powder), Kwatha (decoction), Avaleha (jam), Vati (tablets), Ghrita (ghee)",Sour,Sharp,Hot,Sweet,Rejuvenative,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0
8,Shatavari,Asparagus racemosus,Sweet,Bitter,Sweet,Pitta,Vata,Karnataka,"Galactagogue, Adaptogenic, Anti-ulcer, Immunomodulatory","Female reproductive health, Menopause, Lactation, Ulcers","Cough, Kapha excess","Churna (powder), Kwatha (decoction), Vati (tablets), Ghrita (ghee), Milk decoction",Sweet,"Heavy,Light,Firm",Cold,Sweet,Rejuvenating,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,-2,-3,3
9,Guggulu,Commiphora mukul,Pungent,Bitter,Astringent,Kapha,Vata,Gujarat,"Anti-inflammatory, Lipid-lowering, Anti-obesity, Anti-arthritic","Obesity, Arthritis, High cholesterol, Skin diseases","Pregnancy, Pitta excess","Vati (tablets), Churna (powder), Kwatha (decoction), Taila (oil)",Pungent,Dense,Hot,Astringent,Galactagogue,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,-2,3,-3
10,Tulsi,Ocimum tenuiflorum,Pungent,Bitter,Sweet,Kapha,Vata,Kerala,"Adaptogenic, Anti-stress, Respiratory stimulant, Immunomodulatory","Respiratory disorders, Stress, Fever, Immunity","Pregnancy, Bleeding disorders","Churna (powder), Kwatha (decoction), Swarasa (juice), Vati (tablets), Ghrita (ghee)",Pungent,Firm,Hot,Sweet,Rejuvenating,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-2,3,-3
11,Arjuna,Terminalia arjuna,Astringent,Sweet,Astringent,Kapha,Vata,Tamil Nadu,"Cardiotonic, Astringent, Cooling, Hemostatic","Heart disease, Bleeding disorders, Skin diseases","Pregnancy, Constipation","Churna (powder), Kwatha (decoction), Vati (tablets), Ghrita (ghee), Taila (oil)",Astringent,Subtle,Cold,Astringent,Diaphoretic,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,-2,-2
12,Haritaki,Terminalia chebula,Astringent,Sweet,Sweet,Vata,Kapha,Madhya Pradesh,"Laxative, Rejuvenative, Alterative, Anti-inflammatory","Constipation, Digestive disorders, Skin diseases","Pregnancy, Diarrhea","Churna (powder), Kwatha (decoction), Vati (tablets)",Astringent,"Smooth,Sticky",Hot,Sweet,Diaphoretic,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,-3
13,Bibhitaki,Terminalia bellirica,Astringent,Sweet,Sweet,Kapha,Vata,Madhya Pradesh,"Astringent, Alterative, Anti-inflammatory, Hepatoprotective","Eye diseases, Respiratory disorders, Digestive issues","Pregnancy, Constipation","Churna (powder), Kwatha (decoction), Vati (tablets)",Astringent,"Heavy,Subtle",Hot,Sweet,Nervine tonic,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,-3
14,Yashtimadhu,Glycyrrhiza glabra,Sweet,Sweet,Sweet,Vata,Pitta,Mediterranean,"Demulcent, Anti-inflammatory, Expectorant, Anti-ulcer","Respiratory disorders, Digestive ulcers, Skin diseases","Hypertension, Pregnancy","Churna (powder), Kwatha (decoction), Vati (tablets), Ghrita (ghee), Milk decoction",Sweet,"Stable,Mobile,Firm",Cold,Sweet,Rejuvenative,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-2,-3,3
